R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,B_avg_KD,B_avg_opp_KD,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Weight_lbs,R_avg_KD,R_avg_opp_KD,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Weight_lbs,B_age,R_age
Herbert Burns,Daniel Pineda,Mark Smith,8/15/2020,"Las Vegas, Nevada, USA",Blue,FALSE,Featherweight,0.015625,0.0625,722.90625,13,0,2,0,2,3,4,0,0,0,0,0,3,0,Orthodox,170.18,145,0.5,0,121.5,2,0,2,0,2,2,0,0,0,0,0,1,1,0,Orthodox,175.26,145,35,32
Felice Herrig,Virna Jandiroba,Marc Goddard,8/15/2020,"Las Vegas, Nevada, USA",Blue,FALSE,WomenStrawweight,0,0,638,5,0,0,1,1,1,1,0,0,0,0,0,1,0,Orthodox,160.02,115,0,0,884.5546875,21,0,1,0,4,5,3,0,0,1,2,0,2,0,Orthodox,162.56,115,32,35
Sean O'Malley,Marlon Vera,Herb Dean,8/15/2020,"Las Vegas, Nevada, USA",Blue,FALSE,Bantamweight,0.110839844,0,751.6209716796875,34,0,0,1,5,9,5,0,0,0,1,4,4,0,Switch,172.72,135,0.5,0,312.5,8,0,4,0,4,4,0,0,0,0,2,2,0,0,Switch,180.34,135,27,25
John Dodson,Merab Dvalishvili,Chris Tognoni,8/15/2020,"Las Vegas, Nevada, USA",Blue,FALSE,Bantamweight,0.03125,0,900,18,0,0,2,4,4,2,0,0,0,4,0,0,0,Orthodox,167.64000000000001,135,0.786407471,0,760.2132568359375,46,3,3,0,3,10,6,0,0,1,3,5,0,1,Orthodox,160.02,135,29,35
Stipe Miocic,Daniel Cormier,Marc Goddard,8/15/2020,"Las Vegas, Nevada, USA",Red,TRUE,Heavyweight,0.125244141,0.537109375,792.3430176,40,9,4,0,4,11,3,0,0,1,3,3,4,0,Orthodox,180.34,235,0.58694458,0.283203125,859.5865173339844,39,6,3,0,6,13,3,0,0,0,4,9,0,0,Orthodox,193.04,240,41,37
Jim Miller,Vinc Pichel,Herb Dean,8/15/2020,"Las Vegas, Nevada, USA",Blue,FALSE,Lightweight,0.0625,0,756.859375,16,0,0,1,4,5,2,0,0,0,4,1,0,0,Orthodox,177.8,155,1.6298145055770874e-08,0.007816315,325.0623576051439,77,0,2,0,7,21,14,0,0,2,6,3,10,0,Southpaw,172.72,155,37,36
Ashley Yoder,Livinha Souza,Mark Smith,8/15/2020,"Las Vegas, Nevada, USA",Blue,FALSE,WomenStrawweight,0,0,695.25,7,0,2,0,2,2,1,0,0,1,0,0,1,0,Orthodox,160.02,115,0.0625,0,900,18,0,0,3,2,2,4,0,0,1,1,0,0,0,Southpaw,170.18,115,29,32
Tim Means,Laureano Staropoli,Jason Herzog,8/8/2020,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,0,0,900,9,0,2,0,2,2,1,0,0,0,2,0,0,0,Orthodox,185.42,170,0.2819843292236328,0.626953125,391.40246391296387,45,0,2,0,4,11,10,0,0,1,3,5,2,0,Orthodox,187.96,170,27,36
Derrick Lewis,Aleksei Oleinik,Herb Dean,8/8/2020,"Las Vegas, Nevada, USA",Red,FALSE,Heavyweight,0.004394531,0.19921875,630.3198242,19,0,2,0,2,8,4,0,0,1,0,1,6,0,Orthodox,187.96,240,0.049072266,0.125030518,809.2813835144043,44,1,2,0,6,14,5,0,0,2,2,10,0,0,Orthodox,190.5,260,43,35
Yana Kunitskaya,Julija Stoliarenko,Mark Smith,8/8/2020,"Las Vegas, Nevada, USA",Red,FALSE,WomenBantamweight,0,0,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,,170.18,135,0,0.5,679.625,10,1,0,1,2,2,2,0,0,0,2,0,0,0,Orthodox,167.64000000000001,135,27,30
Beneil Dariush,Scott Holtzman,Herb Dean,8/8/2020,"Las Vegas, Nevada, USA",Red,FALSE,Lightweight,0.33203125,0,819.8515625,29,0,1,0,3,7,3,0,0,0,4,1,1,1,Orthodox,175.26,155,0.5195465087890625,0.039093018,363.95155334472656,35,0,1,0,5,12,5,0,0,1,4,2,5,0,Southpaw,177.8,155,36,31
Maki Pitolo,Darren Stewart,Chris Tognoni,8/8/2020,"Las Vegas, Nevada, USA",Blue,FALSE,Middleweight,0.09375,0,840.359375,20,0,0,4,2,4,5,0,0,1,1,2,0,0,Orthodox,182.88,185,0,0,635,5,0,0,1,1,1,1,0,0,0,0,1,0,0,Orthodox,177.8,185,29,29
Omari Akhmedov,Chris Weidman,Jason Herzog,8/8/2020,"Las Vegas, Nevada, USA",Blue,FALSE,Middleweight,0.003417969,0.90625,422.3164063,36,5,9,0,9,10,5,0,0,0,3,4,3,0,Orthodox,187.96,185,0.004394531,0.004394531,896.6401367,30,0,1,0,3,8,4,0,0,1,5,2,0,0,Orthodox,182.88,185,36,32
Gavin Tucker,Justin Jaynes,Jason Herzog,8/8/2020,"Las Vegas, Nevada, USA",Red,FALSE,Featherweight,1,0,41,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,170.18,155,0,0.25,848.5,9,0,1,0,1,2,1,0,0,0,1,0,1,0,Southpaw,167.64000000000001,145,30,34
Andrew Sanchez,Wellington Turman,Herb Dean,8/8/2020,"Las Vegas, Nevada, USA",Red,FALSE,Middleweight,0,0,900,6,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,182.88,185,0.125,0.03125,882.75,21,1,2,0,2,4,3,0,0,0,4,0,0,0,Orthodox,185.42,185,24,32
Joanne Calderwood,Jennifer Maia,Jason Herzog,8/1/2020,"Las Vegas, Nevada, USA",Blue,FALSE,WomenFlyweight,0,0,900,12,0,0,1,2,2,2,0,0,0,2,0,0,0,Orthodox,162.56,125,0.01953125,0,849.9492188,24,0,1,0,2,6,4,0,0,1,3,1,1,0,Orthodox,167.64000000000001,125,31,34
Frankie Saenz,Jonathan Martinez,Chris Tognoni,8/1/2020,"Las Vegas, Nevada, USA",Blue,FALSE,Bantamweight,0.25,0.25,883.5,12,0,0,1,2,2,2,0,0,0,1,1,0,0,Southpaw,172.72,135,0.3125,0.53125,486.6875,25,0,3,0,3,5,4,0,0,2,3,0,0,0,Orthodox,167.64000000000001,135,26,39
Vicente Luque,Randy Brown,Mark Smith,8/1/2020,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,0.265625,0,531.1210938,23,0,1,0,2,6,3,0,0,0,2,2,2,0,Orthodox,190.5,170,0.622558594,0.28125,798.3233642578125,28,0,0,1,6,11,3,0,0,1,0,6,3,1,Orthodox,180.34,170,30,28
Derek Brunson,Edmen Shahbazyan,Herb Dean,8/1/2020,"Las Vegas, Nevada, USA",Red,FALSE,Middleweight,1.125,0,208.75,6,0,4,0,4,4,0,0,0,1,0,2,1,0,Orthodox,187.96,185,0.049102783,0.44140625,740.2371215820312,28,0,2,0,5,11,5,0,0,0,4,6,1,0,Southpaw,185.42,185,22,36
Lando Vannata,Bobby Green,Herb Dean,8/1/2020,"Las Vegas, Nevada, USA",Blue,FALSE,Lightweight,0.000488281,0.046875,893.9760742,32,0,4,0,4,6,6,0,0,1,3,1,1,0,Orthodox,177.8,155,0.1484375,0,819.4609375,22,0,0,1,1,3,6,0,0,0,1,1,1,0,Orthodox,175.26,155,33,28
Alex Oliveira,Peter Sobotta,Daniel Movahedi,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,Welterweight,0.875,0.5625,715.46875,22,0,0,3,2,4,5,0,0,0,2,1,1,0,Southpaw,182.88,170,0.020568848,0.015625,840.3583526611328,39,0,0,1,3,10,7,0,0,1,2,4,3,0,Orthodox,180.34,170,33,32
Robert Whittaker,Darren Till,Herb Dean,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,Middleweight,0.35546875,0.375,769.1601563,24,1,1,0,4,6,3,0,0,1,3,2,0,0,Southpaw,182.88,185,0.101928711,1.500610352,882.0343017578125,37,3,2,0,9,11,3,0,0,1,5,5,0,0,Orthodox,182.88,185,27,29
Mauricio Rua,Rogerio Nogueira,Marc Goddard,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,LightHeavyweight,0.316894531,0.515625,315.3632813,25,0,2,0,2,6,6,0,0,1,1,4,0,0,Southpaw,187.96,205,0.44759368896484375,0.136871338,709.5703449249268,51,3,0,1,3,10,10,0,0,1,1,8,0,0,Orthodox,185.42,205,44,38
Carla Esparza,Marina Rodriguez,Rich Mitchell,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,WomenStrawweight,0.125,0,900,12,0,0,1,2,2,2,0,0,0,2,0,0,0,Orthodox,167.64000000000001,115,0,0,897.7685547,32,2,1,0,3,7,4,0,1,1,4,0,1,0,Orthodox,154.94,115,33,32
Paul Craig,Gadzhimurad Antigulov,Marc Goddard,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,LightHeavyweight,0,1.5,114.25,4,0,2,0,2,2,2,0,0,0,0,0,2,0,Orthodox,180.34,205,0.25,0.01171875,625.1914063,18,0,1,0,1,4,5,0,0,0,0,0,4,0,Orthodox,190.5,205,33,32
Tom Aspinall,Jake Collier,Daniel Movahedi,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,Heavyweight,0.1875,0,783.84375,14,0,0,1,1,3,3,0,0,1,1,1,0,0,Orthodox,190.5,230,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,195.57999999999998,256,31,27
Nicolas Dalby,Jesse Ronson,Marc Goddard,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Draw,FALSE,Welterweight,0,0,900,9,0,0,3,0,0,3,0,0,0,0,0,0,0,Southpaw,177.8,170,0,0.4375,900,15,0,1,0,1,2,3,0,0,1,1,0,0,0,Orthodox,180.34,170,34,35
Tanner Boser,Raphael Pessoa,Herb Dean,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,Heavyweight,0.5,0,576,4,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,190.5,262,0.5,0,530.5,7,0,1,0,1,2,1,0,0,0,1,1,0,0,Orthodox,187.96,255,31,28
Movsar Evloev,Mike Grundy,Marc Goddard,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,Featherweight,1,0,582,2,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,170.18,145,0,0,900,6,0,2,0,2,2,0,0,0,0,2,0,0,0,Orthodox,170.18,145,33,26
Bethe Correia,Pannie Kianzad,Rich Mitchell,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,FALSE,WomenBantamweight,0,0.5,782.75,8,1,0,2,1,1,2,0,0,0,1,0,0,0,Orthodox,170.18,135,0,0.1328125,838.46875,27,1,3,0,3,5,5,0,0,2,2,1,0,0,Orthodox,165.1,135,28,37
Joe Duffy,Joel Alvarez,Marc Goddard,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,FALSE,Lightweight,0,0,671,5,0,0,1,1,1,1,0,0,0,0,1,0,0,Orthodox,190.5,155,0.078125,0.75,746.5,14,0,2,0,2,4,3,0,0,0,1,1,2,0,Orthodox,177.8,155,26,32
Jack Hermansson,Kelvin Gastelum,Herb Dean,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,Middleweight,0.261749268,1.000061035,989.9950561523438,43,2,5,0,5,10,6,0,0,3,2,3,2,0,Southpaw,175.26,185,0,0.515625,593.5371094,20,0,1,0,4,7,3,0,0,0,2,3,2,0,Orthodox,185.42,185,28,32
Marc Diakiese,Rafael Fiziev,Rich Mitchell,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,FALSE,Lightweight,0,0.5,493,4,0,0,1,1,1,1,0,0,0,1,0,0,0,Switch,172.72,155,0.265625,0.125,867.78125,21,0,3,0,3,5,3,0,0,0,3,2,0,0,Orthodox,177.8,155,27,27
Alexandre Pantoja,Askar Askarov,Marc Goddard,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,FALSE,Flyweight,0,0.5,900,6,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,167.64000000000001,125,0.6328125,0.25,439.4609375,18,0,2,0,3,6,2,0,0,1,1,2,2,0,Orthodox,165.1,125,27,30
Grant Dawson,Nad Narimani,Daniel Movahedi,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,CatchWeight,0,0.5,741,8,0,2,0,2,2,1,0,0,0,2,0,0,0,Orthodox,172.72,145,0,0,535.75,7,0,3,0,3,3,0,0,0,0,1,0,2,0,Switch,177.8,145,33,26
Deiveson Figueiredo,Joseph Benavidez,Marc Goddard,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,TRUE,Flyweight,0.37525177001953125,0.515869141,538.0793685913086,47,2,3,0,6,15,4,0,0,1,8,5,1,0,Southpaw,162.56,125,0.7109375,0,458.6875,18,0,4,0,4,7,1,0,0,1,1,4,1,0,Orthodox,165.1,125,35,32
Roman Dolidze,Khadis Ibragimov,Herb Dean,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,LightHeavyweight,0,0,809.5,6,0,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,190.5,205,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,205,25,32
Ariane Lipski,Luana Carolina,Daniel Movahedi,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,WomenFlyweight,1,0,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,167.64000000000001,125,0.5,0,900,9,0,0,2,1,1,2,0,0,0,1,0,0,0,Orthodox,167.64000000000001,125,27,26
Brett Johns,Montel Jackson,Daniel Movahedi,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,Bantamweight,0.5,0,800,10,0,0,1,3,3,1,0,0,0,2,0,1,0,Southpaw,177.8,135,0,0.75,782.125,16,0,3,0,3,4,2,0,0,0,2,0,2,0,Orthodox,170.18,135,28,28
Carlos Felipe,Serghei Spivac,Rich Mitchell,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,FALSE,Heavyweight,0,0.25,586,6,0,0,1,1,1,2,0,0,0,0,0,1,0,Orthodox,190.5,260,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,245,25,25
Davi Ramos,Arman Tsarukyan,Daniel Movahedi,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,FALSE,Lightweight,0,0,900,6,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,170.18,155,0,0.5,754,14,0,0,1,4,4,2,0,0,0,1,0,3,0,Orthodox,167.64000000000001,155,23,33
Molly McCann,Taila Santos,Rich Mitchell,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,FALSE,WomenFlyweight,0,0,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,167.64000000000001,125,0,0,840.625,11,0,0,1,3,3,1,0,0,0,3,0,0,0,Orthodox,162.56,125,27,30
Ricardo Ramos,Lerone Murphy,Rich Mitchell,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,FALSE,Featherweight,0,1,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,175.26,145,0.0625,0.125,468.8125,14,0,3,0,3,5,1,0,0,1,2,1,1,0,Orthodox,175.26,145,28,24
Jimmie Rivera,Cody Stamann,Daniel Movahedi,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,Featherweight,0,0,876.375,20,0,3,0,3,5,2,0,0,2,3,0,0,0,Orthodox,167.64000000000001,145,0.06640625,1.0625,842.6445313,23,0,5,0,5,6,3,0,0,1,4,1,0,0,Orthodox,162.56,135,30,31
Calvin Kattar,Dan Ige,Herb Dean,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,Featherweight,0.1875,0.5,835.28125,17,0,0,1,6,6,1,0,0,2,2,1,1,0,Orthodox,170.18,145,0.703125,0,558,16,0,2,0,2,5,2,0,0,0,1,4,0,0,Orthodox,180.34,145,28,32
Tim Elliott,Ryan Benoit,Marc Goddard,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,Flyweight,0.453125,0,828.171875,17,0,0,1,1,3,4,0,0,1,0,2,0,0,Orthodox,165.1,125,0.000244141,0,555.6328125,33,1,0,1,2,4,9,0,0,0,3,0,1,0,Southpaw,170.18,125,30,33
Diana Belbita,Liana Jojua,Rich Mitchell,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,FALSE,WomenFlyweight,0,0,746,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,162.56,125,0,0,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,170.18,125,25,24
Jack Shore,Aaron Phillips,Herb Dean,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,Bantamweight,0,0,900,6,0,0,2,0,0,2,0,0,0,0,0,0,0,Southpaw,175.26,135,0,0,771,3,0,1,0,1,1,0,0,0,0,0,0,1,0,Orthodox,172.72,135,30,25
Jared Gordon,Chris Fishgold,Marc Goddard,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,Featherweight,0,0.25,437.75,5,0,0,1,1,1,2,0,0,0,0,0,1,0,Orthodox,172.72,145,0,0.5625,416,13,0,2,0,2,3,3,0,0,0,2,1,0,0,Orthodox,175.26,145,28,31
Jessica Andrade,Rose Namajunas,Daniel Movahedi,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,FALSE,WomenStrawweight,0.6875,0,722.0898438,25,4,0,1,3,6,3,0,0,0,2,1,3,0,Orthodox,165.1,115,0.125244141,0.7578125,273.2927551269531,36,3,0,1,4,11,5,0,0,1,5,3,2,0,Orthodox,154.94,115,28,28
Makwan Amirkhani,Danny Henry,Leon Roberts,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,Featherweight,0.5,0.5,273.25,5,0,2,0,2,2,1,0,0,0,1,0,1,0,Orthodox,182.88,145,0.015625,0.75,775.828125,16,0,3,0,3,5,2,0,0,1,1,1,2,0,Southpaw,177.8,145,31,31
Elizeu Zaleski dos Santos,Muslim Salikhov,Herb Dean,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,FALSE,Welterweight,0.375,0,648.25,8,0,0,1,3,3,1,0,0,0,1,2,0,0,Orthodox,180.34,170,0.09375,0.78125,750.6464844,25,0,0,1,7,8,2,0,0,1,3,3,1,0,Orthodox,180.34,170,36,33
Petr Yan,Jose Aldo,Leon Roberts,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,TRUE,Bantamweight,0.06463623,0.01953125,792.6072998046875,51,11,7,0,7,10,5,0,0,0,6,4,0,0,Orthodox,170.18,135,2.0625,0.125,731.125,15,0,6,0,6,6,0,0,0,0,3,3,0,0,Switch,170.18,135,33,27
Alexander Volkanovski,Max Holloway,Herb Dean,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,TRUE,Featherweight,0.023593425750732422,0,1441.7427334785461,65,7,0,1,13,17,5,0,0,1,5,8,2,1,Orthodox,180.34,145,0.2578125,0.125,1143.578125,23,1,8,0,8,8,0,0,0,0,5,3,0,0,Orthodox,167.64000000000001,145,28,31
Kamaru Usman,Jorge Masvidal,Marc Goddard,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,TRUE,Welterweight,1.410766602,0.18758392333984375,611.0924301147461,47,0,2,0,3,12,6,0,0,0,5,5,1,1,Orthodox,180.34,170,1.0859375,0,1425.553711,38,3,11,0,11,11,0,0,0,0,8,2,1,0,Switch,182.88,170,35,33
Amanda Ribas,Paige VanZant,Rich Mitchell,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,WomenFlyweight,0.0625,0,540.375,22,0,3,0,3,5,3,0,0,0,1,2,2,0,Orthodox,162.56,115,0,0,782.5,8,0,3,0,3,3,0,0,0,0,2,0,1,0,Orthodox,160.02,125,26,26
Karol Rosa,Vanessa Melo,Daniel Movahedi,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,FALSE,WomenBantamweight,0,0,900,6,0,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,165.1,135,1,0,900,3,0,1,0,1,1,0,0,0,1,0,0,0,0,Orthodox,165.1,135,32,25
Martin Day,Davey Grant,Rich Mitchell,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,FALSE,Bantamweight,0,0.25,644.875,12,1,0,1,1,2,3,0,0,1,1,0,0,0,Orthodox,172.72,135,1,1,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,145,34,31
Luis Pena,Khama Worthy,Mark Smith,6/27/2020,"Las Vegas, Nevada, USA",Blue,FALSE,Lightweight,1,0,255,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,180.34,155,0.03125,0,850.25,16,0,1,0,2,4,2,0,0,0,2,1,1,0,Southpaw,190.5,155,33,26
Philipe Lins,Tanner Boser,Herb Dean,6/27/2020,"Las Vegas, Nevada, USA",Blue,FALSE,Heavyweight,0,0,900,6,0,1,0,1,1,1,0,0,0,1,0,0,0,Orthodox,187.96,255,0,0,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,187.96,240,28,34
Gian Villante,Maurice Greene,Mark Smith,6/27/2020,"Las Vegas, Nevada, USA",Blue,FALSE,Heavyweight,0.25,0.25,413.625,8,0,3,0,3,3,2,0,0,1,0,1,1,0,Orthodox,200.66,258,0.00982666,0.657470703,487.86419677734375,38,0,0,1,2,7,8,0,0,3,0,4,0,0,Orthodox,190.5,230,33,34
Sean Woodson,Julian Erosa,Keith Peterson,6/27/2020,"Las Vegas, Nevada, USA",Blue,FALSE,CatchWeight,0,0.6875,662.375,12,0,1,0,1,1,4,0,0,1,0,0,0,0,Southpaw,185.42,145,0,0,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,187.96,145,30,28
Mike Perry,Mickey Gall,Keith Peterson,6/27/2020,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,0.046875,0.03125,668.421875,13,0,3,0,3,5,2,0,0,0,1,0,4,0,Switch,187.96,170,0.009765625,0.524414063,452.0302734,27,0,2,0,2,6,6,0,0,1,1,4,0,0,Orthodox,177.8,170,28,28
Dustin Poirier,Dan Hooker,Herb Dean,6/27/2020,"Las Vegas, Nevada, USA",Red,FALSE,Lightweight,0.457275391,0.0625,1057.19873,32,0,1,0,4,10,4,0,0,1,1,6,2,0,Switch,182.88,155,0.130493164,0.00402832,904.4744825363159,53,2,4,0,4,17,6,0,1,0,5,8,3,0,Southpaw,175.26,155,30,31
Jordan Griffin,Youssef Zalal,Herb Dean,6/27/2020,"Las Vegas, Nevada, USA",Blue,FALSE,Featherweight,0,0,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Switch,177.8,145,0,0,709,8,0,0,2,1,1,2,0,0,0,0,0,1,0,Southpaw,177.8,145,23,30
Jim Miller,Roosevelt Roberts,Herb Dean,6/20/2020,"Las Vegas, Nevada, USA",Red,FALSE,CatchWeight,0,0,664.875,12,0,2,0,2,4,1,0,0,0,2,0,2,0,Orthodox,187.96,155,3.259629011154175e-08,0.015632629,505.12471521028783,76,0,2,0,7,20,14,0,0,2,6,3,9,0,Southpaw,172.72,155,26,36
Marc-Andre Barriault,Oskar Piechota,Chris Tognoni,6/20/2020,"Las Vegas, Nevada, USA",Draw,FALSE,Middleweight,0.25,1,377.75,9,0,2,0,2,2,3,0,0,0,1,1,0,0,Southpaw,182.88,185,0,0,900,9,0,0,3,0,0,3,0,0,0,0,0,0,0,Orthodox,185.42,185,30,30
Clay Guida,Bobby Green,Jason Herzog,6/20/2020,"Las Vegas, Nevada, USA",Blue,FALSE,Lightweight,0.000976563,0.09375,887.9521484,29,0,4,0,4,5,6,0,0,1,2,1,1,0,Orthodox,177.8,155,0.079101682,0.016177177,323.7547257691622,71,0,1,0,4,15,13,0,0,3,6,2,4,0,Orthodox,170.18,155,33,38
Belal Muhammad,Lyman Good,Chris Tognoni,6/20/2020,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,0.6875,0,501.0625,10,0,1,0,1,3,2,0,0,0,0,3,0,0,Orthodox,182.88,170,0,0.259765625,804.2128906,28,0,0,1,4,7,3,0,0,1,4,1,1,0,Orthodox,180.34,170,35,31
Josh Emmett,Shane Burgos,Jason Herzog,6/20/2020,"Las Vegas, Nevada, USA",Red,FALSE,Featherweight,0.625,0.1875,770.296875,19,0,3,0,3,6,1,0,0,1,2,2,1,0,Orthodox,180.34,145,1.0625,0.125,468.6875,19,0,2,0,2,6,2,0,0,1,2,3,0,0,Orthodox,167.64000000000001,145,29,35
Tecia Torres,Brianna Van Buren,Mark Smith,6/20/2020,"Las Vegas, Nevada, USA",Red,FALSE,WomenStrawweight,0,0,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Southpaw,152.4,115,0.000976563,0,891.453125,32,0,3,0,3,6,5,0,0,0,5,0,1,0,Orthodox,154.94,115,26,30
Raquel Pennington,Marion Reneau,Mark Smith,6/20/2020,"Las Vegas, Nevada, USA",Red,FALSE,WomenBantamweight,0,0.001953125,848.7617188,27,0,2,0,2,5,5,0,0,0,1,2,2,0,Orthodox,167.64000000000001,135,0,0,926.7333984,35,1,1,0,4,7,5,0,0,2,3,0,2,0,Orthodox,170.18,135,43,31
Cortney Casey,Gillian Robertson,Jason Herzog,6/20/2020,"Las Vegas, Nevada, USA",Blue,FALSE,WomenFlyweight,0,0,329.46875,9,0,2,0,2,4,2,0,0,0,0,1,3,0,Orthodox,165.1,125,0,0.000976563,554.1015625,27,0,0,2,2,5,6,0,0,1,1,1,2,0,Orthodox,170.18,125,25,33
Roxanne Modafferi,Lauren Murphy,Chris Tognoni,6/20/2020,"Las Vegas, Nevada, USA",Blue,FALSE,WomenFlyweight,0.25,0,851.421875,24,0,0,2,2,4,4,0,0,2,0,2,0,0,Orthodox,165.1,125,0.5,0.0625,897.25,22,1,0,2,1,3,4,0,0,1,1,1,0,0,Orthodox,170.18,125,36,37
Mariya Agapova,Hannah Cifers,Dan Miragliotta,6/13/2020,"Las Vegas, Nevada, USA",Red,FALSE,WomenFlyweight,0.0625,0,414.5625,11,0,0,1,2,2,3,0,0,1,1,0,0,0,Orthodox,154.94,115,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,167.64000000000001,125,27,23
